,ICAO,lat,long
1453,ENDI,60.417,8.514
1454,ENDU,69.056,18.54
1457,ENEV,68.491,16.678
1459,ENFB,59.896,10.617
1460,ENFG,61.011,9.293
1461,ENFL,61.584,5.025
1468,ENGM,60.194,11.1
1470,ENHA,60.818,11.067
1471,ENHD,59.345,5.208
1473,ENHK,70.487,22.14
1482,ENKB,63.112,7.824
1483,ENKJ,59.969,11.036
1484,ENKR,69.725,29.887
1485,ENLI,58.1,6.625
1487,ENML,62.746,7.272
1489,ENMS,65.784,13.215
1490,ENNA,70.069,24.973
1493,ENNO,59.566,9.212
1495,ENOL,63.699,9.604
1500,ENRO,62.578,11.342
1502,ENRY,59.379,10.786
1504,ENSB,78.246,15.466
1507,ENSG,61.156,7.136
1510,ENSN,59.185,9.567
1511,ENSO,59.792,5.341
1512,ENSR,69.787,20.959
1513,ENSS,70.355,31.045
1514,ENST,65.957,12.469
1515,ENTC,69.683,18.919
1516,ENTO,59.187,10.259
1517,ENVA,63.458,10.94
1520,ENZV,58.877,5.638
1523,EPGD,54.377,18.466
1528,EPKK,50.078,19.785
1529,EPKM,50.238,19.035
1530,EPKO,54.042,16.264
1532,EPKT,50.474,19.08
1533,EPLL,51.722,19.398
1535,EPML,50.322,21.462
1538,EPPO,52.421,16.826
1541,EPRZ,50.11,22.019
1542,EPSC,53.585,14.902
1543,EPSD,53.392,14.634
1544,EPSK,54.479,17.108
1545,EPSN,53.791,15.828
1548,EPWA,52.166,20.967
1549,EPWR,51.102,16.886
1550,EPZG,52.139,15.799
1554,ESCF,58.402,15.526
1555,ESCK,58.611,16.103
1557,ESCM,59.897,17.588
1558,ESCN,59.181,17.912
1560,ESDB,56.296,12.847
1561,ESDF,56.267,15.265
1562,ESFH,58.409,13.262
1563,ESFI,56.184,14.132
1565,ESFM,58.598,14.114
1566,ESFQ,56.844,15.452
1567,ESFR,58.498,13.053
1568,ESFY,56.785,13.602
1571,ESGG,57.663,12.28
1574,ESGJ,57.758,14.069
1575,ESGK,58.17,13.588
1576,ESGL,58.465,13.174
1578,ESGP,57.775,11.87
1579,ESGR,58.456,13.973
1581,ESGT,58.318,12.345
1598,ESIA,58.514,14.507
1599,ESIB,58.426,12.714
1600,ESKA,60.133,18.105
1601,ESKB,59.419,17.891
1606,ESKK,59.346,14.496
1607,ESKM,60.958,14.511
1608,ESKN,58.789,16.912
1611,ESKS,59.314,17.109
1614,ESKV,59.676,12.639
1615,ESKX,58.791,16.571
1616,ESMA,56.611,15.605
1621,ESMG,56.95,13.922
1625,ESMK,55.922,14.085
1626,ESML,55.945,12.861
1628,ESMO,57.35,16.498
1629,ESMP,57.264,13.599
1630,ESMQ,56.685,16.288
1632,ESMS,55.53,13.371
1633,ESMT,56.691,12.82
1634,ESMV,57.292,14.137
1635,ESMX,56.929,14.728
1638,ESNA,63.738,15.458
1640,ESNC,62.409,13.747
1641,ESND,62.048,14.423
1642,ESNF,61.898,15.705
1643,ESNG,67.132,20.814
1644,ESNH,61.768,17.081
1645,ESNI,63.634,17.94
1646,ESNJ,66.496,20.147
1647,ESNK,63.048,17.769
1648,ESNL,64.548,18.716
1649,ESNM,63.129,14.803
1650,ESNN,62.528,17.444
1651,ESNO,63.408,18.99
1652,ESNP,65.399,21.265
1653,ESNQ,67.822,20.337
1654,ESNR,61.19,14.712
1655,ESNS,64.625,21.077
1656,ESNT,62.481,17.003
1657,ESNU,63.792,20.282
1658,ESNV,64.579,16.833
1659,ESNX,65.59,19.282
1660,ESOE,59.224,15.038
1661,ESOH,60.02,13.579
1663,ESOW,59.589,16.634
1664,ESPA,65.544,22.122
1665,ESPC,63.194,14.502
1667,ESPE,65.875,20.15
1669,ESPJ,65.836,21.471
1670,ESQO,59.386,15.924
1672,ESSA,59.652,17.919
1673,ESSB,59.354,17.941
1675,ESSD,60.422,15.515
1677,ESSF,57.526,15.824
1681,ESSK,60.593,16.951
